ID	name	countyID
1	Miasto Wrocław	1
2	Długołęka	2
3	Czernica	2
4	Jordanów Śląski	2
5	Mietków	2
6	Kąty Wrocławskie	2
7	Kobierzyce	2
8	Sobótka	2
9	Siechnice	2
10	Żórawina	2
11	Oleśnica	3
12	Syców	3
13	Twardogóra	3
14	Oleśnica - miasto	3
15	Dobroszyce	3
16	Bierutów	3
17	Dziadowa Kłoda	3
18	Międzybórz	3
19	Oława	4
20	Domaniów	4
21	Oława - miasto	4
22	Jelcz - Laskowice	4
23	Kondratowice	5
24	Borów	5
25	Strzelin	5
26	Przeworno	5
27	Wiązów	5
28	Trzebnica	6
29	Oborniki Śląskie	6
30	Prusice	6
31	Zawonia	6
32	Wisznia Mała	6
33	Żmigród	6
