ID	name	boroughID
1	Stare Miasto	1
2	Bartoszowice	1
3	Biskupin	1
4	D鉉ie	1
5	Plac Grunwaldzki	1
6	S瘼olno	1
7	Zacisze	1
8	Zalesie	1
9	Bie鎥owice	1
10	Bierdzany	1
11	Borek	1
12	Broch闚	1
13	Gaj	1
14	Jagodno	1
15	Klecina	1
16	Krzyki	1
17	Ksi篹e Ma貫	1
18	Ksi篹e Wielkie	1
19	O速aszyn	1
20	Opatowice	1
21	Partynice	1
22	Po逝dnie	1
23	Rakowiec	1
24	i靖niki	1
25	Tarnogaj	1
26	Wojszyce	1
27	G鉅闚 Ma造	1
28	Grabiszyn	1
29	Jarno速闚	1
30	Jerzmanowo	1
31	Kozan闚	1
32	Kuiki	1
33	Leica	1
34	Marszowice	1
35	Maice	1
36	Mokra	1
37	Muchob鏎 Ma造	1
38	Muchob鏎 Wielki	1
39	Nowy Dw鏎	1
40	Opor闚	1
41	Pilczyce	1
42	Popowice	1
43	Pracze Odrza雟kie	1
44	Raty�	1
45	Stab這wice	1
46	Strachowice	1
47	Z這tniki	1
48	畝r	1
49	疾rniki	1
50	Kar這wice	1
51	Kleczk闚	1
52	K這koczyce	1
53	Kowale	1
54	Lipa Piotrowska	1
55	Osobowice	1
56	Paw這wice	1
57	Polanowice	1
58	Poi皻ne	1
59	Psie Pole	1
60	R璠zin	1
61	R騜anka	1
62	So速ysowice	1
63	Strachocin	1
64	Swojczyce	1
65	iniary	1
66	Widawa	1
67	Wojn闚	1
68	Zakrz闚	1
69	B隕闚	2
70	Bielawa	2
71	Bierzyce	2
72	Borowa	2
73	Brzezia ㄨka	2
74	Budziwojowice	2
75	Bukowina	2
76	Byk闚	2
77	D鉉rowica	2
78	D逝go喚ka	2
79	Dobrosz闚	2
80	Domaszczyn	2
81	Godzieszowa	2
82	Jaksonowice	2
83	Januszkowice	2
84	Ska豉	2
85	Kamie�	2
86	K靖na	2
87	K瘼a	2
88	Kie販z闚	2
89	Kie販z闚ek	2
90	Krakowiany	2
91	υsice	2
92	υzina	2
93	Micha這wice gm.D逝go喚ka	2
94	Mirk闚	2
95	Oleiczka	2
96	Pasikurowice	2
97	Piecowice	2
98	Pietrzykowice	2
99	Pruszowice	2
100	Rak闚	2
101	Ramisz闚	2
