ID	name	boroughID
1	Stare Miasto	1
2	Bartoszowice	1
3	Biskupin	1
4	D¹bie	1
5	Plac Grunwaldzki	1
6	Sêpolno	1
7	Zacisze	1
8	Zalesie	1
9	Bieñkowice	1
10	Bierdzany	1
11	Borek	1
12	Brochów	1
13	Gaj	1
14	Jagodno	1
15	Klecina	1
16	Krzyki	1
17	Ksiê¿e Ma³e	1
18	Ksiê¿e Wielkie	1
19	O³taszyn	1
20	Opatowice	1
21	Partynice	1
22	Po³udnie	1
23	Rakowiec	1
24	Œwi¹tniki	1
25	Tarnogaj	1
26	Wojszyce	1
27	G¹dów Ma³y	1
28	Grabiszyn	1
29	Jarno³tów	1
30	Jerzmanowo	1
31	Kozanów	1
32	KuŸniki	1
33	Leœnica	1
34	Marszowice	1
35	Maœlice	1
36	Mokra	1
37	Muchobór Ma³y	1
38	Muchobór Wielki	1
39	Nowy Dwór	1
40	Oporów	1
41	Pilczyce	1
42	Popowice	1
43	Pracze Odrzañskie	1
44	Ratyñ	1
45	Stab³owice	1
46	Strachowice	1
47	Z³otniki	1
48	¯ar	1
49	¯erniki	1
50	Kar³owice	1
51	Kleczków	1
52	K³okoczyce	1
53	Kowale	1
54	Lipa Piotrowska	1
55	Osobowice	1
56	Paw³owice	1
57	Polanowice	1
58	Poœwiêtne	1
59	Psie Pole	1
60	Rêdzin	1
61	Ró¿anka	1
62	So³tysowice	1
63	Strachocin	1
64	Swojczyce	1
65	Œwiniary	1
66	Widawa	1
67	Wojnów	1
68	Zakrzów	1
69	B¹ków	2
70	Bielawa	2
71	Bierzyce	2
72	Borowa	2
73	Brzezia £¹ka	2
74	Budziwojowice	2
75	Bukowina	2
76	Byków	2
77	D¹browica	2
78	D³ugo³êka	2
79	Dobroszów	2
80	Domaszczyn	2
81	Godzieszowa	2
82	Jaksonowice	2
83	Januszkowice	2
84	Ska³a	2
85	Kamieñ	2
86	K¹tna	2
87	Kêpa	2
88	Kie³czów	2
89	Kie³czówek	2
90	Krakowiany	2
91	£osice	2
92	£ozina	2
93	Micha³owice gm.D³ugo³êka	2
94	Mirków	2
95	Oleœniczka	2
96	Pasikurowice	2
97	Piecowice	2
98	Pietrzykowice	2
99	Pruszowice	2
100	Raków	2
101	Ramiszów	2
102	Siedlec	2
